2025-08-16 14:15:46,629 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: nmap_scan - 执行Nmap网络扫描
2025-08-16 14:15:46,630 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: masscan_scan - 执行Masscan高速端口扫描
2025-08-16 14:15:46,632 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: gobuster_scan - 执行Gobuster目录/子域名扫描
2025-08-16 14:15:46,634 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: nuclei_scan - 执行Nuclei漏洞扫描
2025-08-16 14:15:46,635 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: execute_command - 执行系统命令
2025-08-16 14:15:46,636 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: check_health - 检查服务器健康状态
2025-08-16 14:15:46,637 | MCP-ServerManager | 🔍 调试 | 🔍 ✅ 注册工具: analyze_target - AI智能目标分析
2025-08-16 14:15:46,638 | MCP-ServerManager | ℹ️ 信息 | [38;5;46m✅ 🎯 工具注册完成: 7/7 个工具成功注册[0m
2025-08-16 14:15:46,640 | MCP-ServerManager | ℹ️ 信息 | [38;5;46m✅ 🔧 MCP实用工具注册完成[0m
2025-08-16 14:15:46,641 | MCP-ServerManager | ℹ️ 信息 | ℹ️  🚀 启动MCP服务器: hexstrike-ai-mcp
2025-08-16 14:15:46,642 | MCP-ServerManager | ℹ️ 信息 | ℹ️  🔗 连接到HexStrike服务器: http://127.0.0.1:8888
2025-08-16 14:15:46,642 | MCP-ServerManager | ℹ️ 信息 | [38;5;46m✅ ✅ MCP服务器准备就绪[0m
2025-08-16 14:15:46,643 | MCP-ServerManager | ℹ️ 信息 | ℹ️  🛠️  可用工具: 7 个
2025-08-16 14:15:46,644 | MCP-ServerManager | ℹ️ 信息 | ℹ️  📂 工具分类: 4 个
2025-08-16 14:15:46,644 | MCP-ServerManager | ℹ️ 信息 | ℹ️  🎯 等待AI代理连接...
